"cell","composite","data_type","data_version","date_resubmitted","date_submitted","date_unrestricted","dcc_accession","geo_sample_accession","grant","lab","lab_exp_id","lab_version","md5sum","obj_status","orig_assembly","project","replicate","seq_platform","size","sub_id","submitted_data_version","table_name","treatment","type","view","filename","fname","url"
"H7-hESC","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2010-07-25#,#2011-04-24#,"wgEncodeEH000834","GSM646563","Stam","UW","DS11909",,"0e9dcaca171f48799ab0e030233d17b2",,"hg19","wgEncode",,,"553M",2047,,"wgEncodeUwDgfH7esSig",,"bigWig","Signal","wgEncodeUwDgfH7esSig.bigWig","wgEncodeUwDgfH7esSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfH7esSig.bigWig"
"HAEpiC","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2010-07-25#,#2011-04-24#,"wgEncodeEH000835","GSM646560","Stam","UW","DS12663","Hotspot-v5.1","594030fc6acc11608c7c6872a6bc7bdd",,"hg19","wgEncode",,,"4.1M",2048,,"wgEncodeUwDgfHaeHotspots",,"broadPeak","Hotspots","wgEncodeUwDgfHaeHotspots.broadPeak.gz","wgEncodeUwDgfHaeHotspots.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfHaeHotspots.broadPeak.gz"
"HAEpiC","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2011-01-14#,#2011-10-14#,"wgEncodeEH000835","GSM646560","Stam","UW","DS12663","lmax-v1.0","b7cc473cb7b98bae93551a14b429009a",,"hg19","wgEncode",,,"3.3M",3260,"V2 - Fixed bug in peak calls that artificially reduced the number of peaks","wgEncodeUwDgfHaePkV2",,"narrowPeak","Peaks","wgEncodeUwDgfHaePkV2.narrowPeak.gz","wgEncodeUwDgfHaePkV2.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfHaePkV2.narrowPeak.gz"
"HAEpiC","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2010-07-25#,#2011-04-24#,"wgEncodeEH000835","GSM646560","Stam","UW","DS12663","WindowDensity-bin20-win+/-75","80d134a9e071c247e574bc5e3b8d80d5",,"hg19","wgEncode",,,"322M",2048,,"wgEncodeUwDgfHaeRaw",,"bigWig","RawSignal","wgEncodeUwDgfHaeRaw.bigWig","wgEncodeUwDgfHaeRaw.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfHaeRaw.bigWig"
"HAEpiC","wgEncodeUwDgf","DnaseDgf","ENCODE Jan 2011 Freeze",,#2010-07-25#,#2011-04-24#,"wgEncodeEH000835","GSM646560","Stam","UW","DS12663",,"39d4bc32000c81a93a44ba72bd2c9504",,"hg19","wgEncode",,,"448M",2048,,"wgEncodeUwDgfHaeSig",,"bigWig","Signal","wgEncodeUwDgfHaeSig.bigWig","wgEncodeUwDgfHaeSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfHaeSig.bigWig"
"HA-h","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-29#,#2012-06-28#,"wgEncodeEH002452","GSM1014516","Stam","UW","DS15192","Hotspot-v5.2","a6d2793b5de15b4a98e5fd2601edbf15",,"hg19","wgEncode",,"Illumina_HiSeq_2000","4.4M",4895,,"wgEncodeUwDgfHahHotspots",,"broadPeak","Hotspots","wgEncodeUwDgfHahHotspots.broadPeak.gz","wgEncodeUwDgfHahHotspots.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfHahHotspots.broadPeak.gz"
"HA-h","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-29#,#2012-06-28#,"wgEncodeEH002452","GSM1014516","Stam","UW","DS15192","lmax-v1.0","019777b94860e16c15d802c037ad2931",,"hg19","wgEncode",,"Illumina_HiSeq_2000","3.5M",4895,,"wgEncodeUwDgfHahPk",,"narrowPeak","Peaks","wgEncodeUwDgfHahPk.narrowPeak.gz","wgEncodeUwDgfHahPk.narrowPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfHahPk.narrowPeak.gz"
"HA-h","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-29#,#2012-06-28#,"wgEncodeEH002452","GSM1014516","Stam","UW","DS15192","WindowDensity-bin20-win+/-75","18e2203504712eef0de44e516a07b273",,"hg19","wgEncode",,"Illumina_HiSeq_2000","360M",4895,,"wgEncodeUwDgfHahRaw",,"bigWig","RawSignal","wgEncodeUwDgfHahRaw.bigWig","wgEncodeUwDgfHahRaw.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfHahRaw.bigWig"
"HA-h","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-09-29#,#2012-06-28#,"wgEncodeEH002452","GSM1014516","Stam","UW","DS15192",,"4b262ad80329fca154ed7d2beceec053",,"hg19","wgEncode",,"Illumina_HiSeq_2000","668M",4895,,"wgEncodeUwDgfHahSig",,"bigWig","Signal","wgEncodeUwDgfHahSig.bigWig","wgEncodeUwDgfHahSig.bigWig","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfHahSig.bigWig"
"HA-sp","wgEncodeUwDgf","DnaseDgf","ENCODE Mar 2012 Freeze",,#2011-12-16#,#2012-09-15#,"wgEncodeEH002459","GSM1014508","Stam","UW","DS14790","Hotspot-v5.2","1f0e2790d3bfb5422e7236d3cf9a77b7",,"hg19","wgEncode",,"Illumina_HiSeq_2000","4.0M",5232,,"wgEncodeUwDgfHaspHotspots",,"broadPeak","Hotspots","wgEncodeUwDgfHaspHotspots.broadPeak.gz","wgEncodeUwDgfHaspHotspots.broadPeak","http://hgdownload.cse.ucsc.edu/goldenPath/hg19/encodeDCC/wgEncodeUwDgf/wgEncodeUwDgfHaspHotspots.broadPeak.gz"
