cell_line.hCAGE-bronchioalveolar carcinoma cell line:NCI-H358.CNhs11840.10709-109H7.hg19.ctss.bed	bronchioalveolar_20carcinoma_20cell_20line_3aNCI_H358_CNhs11840_10709_109H7_hg19_ctss
cell_line.hCAGE-bronchogenic carcinoma cell line:ChaGo-K-1.CNhs11841.10710-109H8.hg19.ctss.bed	bronchogenic_20carcinoma_20cell_20line_3aChaGo_K_1_CNhs11841_10710_109H8_hg19_ctss
cell_line.hCAGE-carcinoid cell line:NCI-H1770.CNhs11834.10703-109H1.hg19.ctss.bed	carcinoid_20cell_20line_3aNCI_H1770_CNhs11834_10703_109H1_hg19_ctss
cell_line.hCAGE-carcinoid cell line:SK-PN-DW.CNhs11846.10719-109I8.hg19.ctss.bed	carcinoid_20cell_20line_3aSK_PN_DW_CNhs11846_10719_109I8_hg19_ctss
cell_line.hCAGE-carcinosarcoma cell line:JHUCS-1.CNhs11747.10642-109A3.hg19.ctss.bed	carcinosarcoma_20cell_20line_3aJHUCS_1_CNhs11747_10642_109A3_hg19_ctss
cell_line.hCAGE-cervical cancer cell line:D98-AH2.CNhs11288.10552-107I3.hg19.ctss.bed	cervical_20cancer_20cell_20line_3aD98_AH2_CNhs11288_10552_107I3_hg19_ctss
cell_line.hCAGE-cervical cancer cell line:ME-180.CNhs11289.10553-107I4.hg19.ctss.bed	cervical_20cancer_20cell_20line_3aME_180_CNhs11289_10553_107I4_hg19_ctss
cell_line.hCAGE-cholangiocellular carcinoma cell line:HuH-28.CNhs11283.10536-107G5.hg19.ctss.bed	cholangiocellular_20carcinoma_20cell_20line_3aHuH_28_CNhs11283_10536_107G5_hg19_ctss
cell_line.hCAGE-chondrosarcoma cell line:SW 1353.CNhs11833.10700-109G7.hg19.ctss.bed	chondrosarcoma_20cell_20line_3aSW_201353_CNhs11833_10700_109G7_hg19_ctss
cell_line.hCAGE-choriocarcinoma cell line:BeWo.CNhs10740.10423-106C9.hg19.ctss.bed	choriocarcinoma_20cell_20line_3aBeWo_CNhs10740_10423_106C9_hg19_ctss
cell_line.hCAGE-choriocarcinoma cell line:SCH.CNhs11875.10785-110H2.hg19.ctss.bed	choriocarcinoma_20cell_20line_3aSCH_CNhs11875_10785_110H2_hg19_ctss
cell_line.hCAGE-choriocarcinoma cell line:T3M-3.CNhs11820.10618-108G6.hg19.ctss.bed	choriocarcinoma_20cell_20line_3aT3M_3_CNhs11820_10618_108G6_hg19_ctss
cell_line.hCAGE-chronic lymphocytic leukemia (T-CLL) cell line:SKW-3.CNhs11714.10416-106C2.hg19.ctss.bed	chronic_20lymphocytic_20leukemia_20_28T_CLL_29_20cell_20line_3aSKW_3_CNhs11714_10416_106C2_hg19_ctss
cell_line.hCAGE-chronic myeloblastic leukemia (CML) cell line:KCL-22.CNhs11886.10801-110I9.hg19.ctss.bed	chronic_20myeloblastic_20leukemia_20_28CML_29_20cell_20line_3aKCL_22_CNhs11886_10801_110I9_hg19_ctss
cell_line.hCAGE-chronic myelogenous leukemia (CML) cell line:MEG-A2.CNhs11865.10766-110F1.hg19.ctss.bed	chronic_20myelogenous_20leukemia_20_28CML_29_20cell_20line_3aMEG_A2_CNhs11865_10766_110F1_hg19_ctss
cell_line.hCAGE-chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep1.CNhs12334.10824-111C5.hg19.ctss.bed	chronic_20myelogenous_20leukemia_20cell_20line_3aK562_20ENCODE_2c_20biol_rep1_CNhs12334_10824_111C5_hg19_ctss
cell_line.hCAGE-chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep2.CNhs12335.10825-111C6.hg19.ctss.bed	chronic_20myelogenous_20leukemia_20cell_20line_3aK562_20ENCODE_2c_20biol_rep2_CNhs12335_10825_111C6_hg19_ctss
cell_line.hCAGE-chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep3.CNhs12336.10826-111C7.hg19.ctss.bed	chronic_20myelogenous_20leukemia_20cell_20line_3aK562_20ENCODE_2c_20biol_rep3_CNhs12336_10826_111C7_hg19_ctss
cell_line.hCAGE-chronic myelogenous leukemia cell line:K562.CNhs11250.10454-106G4.hg19.ctss.bed	chronic_20myelogenous_20leukemia_20cell_20line_3aK562_CNhs11250_10454_106G4_hg19_ctss
cell_line.hCAGE-chronic myelogenous leukemia cell line:KU812.CNhs10727.10409-106B4.hg19.ctss.bed	chronic_20myelogenous_20leukemia_20cell_20line_3aKU812_CNhs10727_10409_106B4_hg19_ctss
cell_line.hCAGE-clear cell carcinoma cell line:JHOC-5.CNhs11745.10638-108I8.hg19.ctss.bed	clear_20cell_20carcinoma_20cell_20line_3aJHOC_5_CNhs11745_10638_108I8_hg19_ctss
cell_line.hCAGE-clear cell carcinoma cell line:TEN.CNhs11930.10636-108I6.hg19.ctss.bed	clear_20cell_20carcinoma_20cell_20line_3aTEN_CNhs11930_10636_108I6_hg19_ctss
cell_line.hCAGE-colon carcinoma cell line:CACO-2.CNhs11280.10513-107D9.hg19.ctss.bed	colon_20carcinoma_20cell_20line_3aCACO_2_CNhs11280_10513_107D9_hg19_ctss
cell_line.hCAGE-colon carcinoma cell line:COLO-320.CNhs10737.10420-106C6.hg19.ctss.bed	colon_20carcinoma_20cell_20line_3aCOLO_320_CNhs10737_10420_106C6_hg19_ctss
cell_line.hCAGE-cord blood derived cell line:COBL-a 24h infection(-C).CNhs11049.10452-106G2.hg19.ctss.bed	cord_20blood_20derived_20cell_20line_3aCOBL_a_2024h_20infection_28_C_29_CNhs11049_10452_106G2_hg19_ctss
cell_line.hCAGE-cord blood derived cell line:COBL-a 24h infection.CNhs11050.10453-106G3.hg19.ctss.bed	cord_20blood_20derived_20cell_20line_3aCOBL_a_2024h_20infection_CNhs11050_10453_106G3_hg19_ctss
cell_line.hCAGE-cord blood derived cell line:COBL-a untreated.CNhs11045.10449-106F8.hg19.ctss.bed	cord_20blood_20derived_20cell_20line_3aCOBL_a_20untreated_CNhs11045_10449_106F8_hg19_ctss
cell_line.hCAGE-diffuse large B-cell lymphoma cell line:CTB-1.CNhs11741.10631-108I1.hg19.ctss.bed	diffuse_20large_20B_cell_20lymphoma_20cell_20line_3aCTB_1_CNhs11741_10631_108I1_hg19_ctss
cell_line.hCAGE-ductal cell carcinoma cell line:KLM-1.CNhs11100.10438-106E6.hg19.ctss.bed	ductal_20cell_20carcinoma_20cell_20line_3aKLM_1_CNhs11100_10438_106E6_hg19_ctss
cell_line.hCAGE-ductal cell carcinoma cell line:MIA Paca2.CNhs11259.10488-107B2.hg19.ctss.bed	ductal_20cell_20carcinoma_20cell_20line_3aMIA_20Paca2_CNhs11259_10488_107B2_hg19_ctss
cell_line.hCAGE-embryonic kidney cell line: HEK293/SLAM infection, 24hr.CNhs11047.10451-106G1.hg19.ctss.bed	embryonic_20kidney_20cell_20line_3a_20HEK293_2fSLAM_20infection_2c_2024hr_CNhs11047_10451_106G1_hg19_ctss
cell_line.hCAGE-embryonic kidney cell line: HEK293/SLAM untreated.CNhs11046.10450-106F9.hg19.ctss.bed	embryonic_20kidney_20cell_20line_3a_20HEK293_2fSLAM_20untreated_CNhs11046_10450_106F9_hg19_ctss
cell_line.hCAGE-embryonic pancreas cell line:1B2C6.CNhs11731.10604-108F1.hg19.ctss.bed	embryonic_20pancreas_20cell_20line_3a1B2C6_CNhs11731_10604_108F1_hg19_ctss
cell_line.hCAGE-embryonic pancreas cell line:1C3D3.CNhs11732.10605-108F2.hg19.ctss.bed	embryonic_20pancreas_20cell_20line_3a1C3D3_CNhs11732_10605_108F2_hg19_ctss
cell_line.hCAGE-embryonic pancreas cell line:1C3IKEI.CNhs11733.10606-108F3.hg19.ctss.bed	embryonic_20pancreas_20cell_20line_3a1C3IKEI_CNhs11733_10606_108F3_hg19_ctss
cell_line.hCAGE-embryonic pancreas cell line:2C6.CNhs11814.10603-108E9.hg19.ctss.bed	embryonic_20pancreas_20cell_20line_3a2C6_CNhs11814_10603_108E9_hg19_ctss
cell_line.hCAGE-endometrial carcinoma cell line:OMC-2.CNhs11266.10497-107C2.hg19.ctss.bed	endometrial_20carcinoma_20cell_20line_3aOMC_2_CNhs11266_10497_107C2_hg19_ctss
cell_line.hCAGE-endometrial stromal sarcoma cell line:OMC-9.CNhs11249.10448-106F7.hg19.ctss.bed	endometrial_20stromal_20sarcoma_20cell_20line_3aOMC_9_CNhs11249_10448_106F7_hg19_ctss
cell_line.hCAGE-endometrioid adenocarcinoma cell line:JHUEM-1.CNhs11748.10643-109A4.hg19.ctss.bed	endometrioid_20adenocarcinoma_20cell_20line_3aJHUEM_1_CNhs11748_10643_109A4_hg19_ctss
cell_line.hCAGE-epidermoid carcinoma cell line:A431.CNhs10743.10426-106D3.hg19.ctss.bed	epidermoid_20carcinoma_20cell_20line_3aA431_CNhs10743_10426_106D3_hg19_ctss
cell_line.hCAGE-epidermoid carcinoma cell line:Ca Ski.CNhs10748.10431-106D8.hg19.ctss.bed	epidermoid_20carcinoma_20cell_20line_3aCa_20Ski_CNhs10748_10431_106D8_hg19_ctss
cell_line.hCAGE-epithelioid sarcoma cell line:HS-ES-1.CNhs11247.10443-106F2.hg19.ctss.bed	epithelioid_20sarcoma_20cell_20line_3aHS_ES_1_CNhs11247_10443_106F2_hg19_ctss
